web-scraper-order,web-scraper-start-url,Flag,Country,IOC,FIFA,ISO
"1571845386-238","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","United Kingdom[19]","GBR","","GBR"
"1571845386-135","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Madagascar","MAD","MAD","MDG"
"1571845386-159","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Netherlands","NED","NED","NLD"
"1571845386-45","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Central African Republic","CAF","CTA","CAF"
"1571845386-41","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cameroon","CMR","CMR","CMR"
"1571845386-7","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Andorra","AND","AND","AND"
"1571845386-23","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Belgium","BEL","BEL","BEL"
"1571845386-183","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Qatar","QAT","QAT","QAT"
"1571845386-193","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saint Pierre and Miquelon","","","SPM"
"1571845386-139","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Mali","MLI","MLI","MLI"
"1571845386-121","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Korea, Republic of (South)[12]","KOR","KOR","KOR"
"1571845386-167","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Northern Ireland","","NIR","[15]"
"1571845386-199","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Scotland","","SCO","[16]"
"1571845386-197","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","São Tomé and Príncipe","STP","STP","STP"
"1571845386-33","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Brazil","BRA","BRA","BRA"
"1571845386-244","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Vanuatu","VAN","VAN","VUT"
"1571845386-88","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Gibraltar","","GIB","GIB"
"1571845386-212","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Spain","ESP","ESP","ESP"
"1571845386-100","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Heard Island and McDonald Islands","","","HMD"
"1571845386-53","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Congo, Democratic Republic of the[4]","COD","COD","COD"
"1571845386-117","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Kazakhstan","KAZ","KAZ","KAZ"
"1571845386-99","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Haiti","HAI","HAI","HTI"
"1571845386-221","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Republic of China (Taiwan)[17]","TPE","TPE","TWN"
"1571845386-158","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Nepal","NEP","NEP","NPL"
"1571845386-87","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Ghana","GHA","GHA","GHA"
"1571845386-185","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Romania","ROU","ROU","ROU"
"1571845386-122","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Kuwait","KUW","KUW","KWT"
"1571845386-110","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Isle of Man","","","IMN"
"1571845386-138","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Maldives","MDV","MDV","MDV"
"1571845386-106","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Indonesia","INA","IDN","IDN"
"1571845386-236","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Ukraine","UKR","UKR","UKR"
"1571845386-86","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Germany","GER","GER","DEU"
"1571845386-251","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Yemen","YEM","YEM","YEM"
"1571845386-215","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Suriname","SUR","SUR","SUR"
"1571845386-31","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Botswana","BOT","BOT","BWA"
"1571845386-220","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Syria","SYR","SYR","SYR"
"1571845386-79","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","France","FRA","FRA","FRA"
"1571845386-152","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Montserrat","","MSR","MSR"
"1571845386-237","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","United Arab Emirates","UAE","UAE","ARE"
"1571845386-84","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","The Gambia","GAM","GAM","GMB"
